property_id,county,tax_amount_usd,tax_value_usd,tax_rate
1379399,Los Angeles,1662.94,92601.0,0.017958121402576646
1379363,Los Angeles,4622.74,376187.0,0.012288409753659748
1379323,Los Angeles,3629.05,293055.0,0.012383511627510195
1379287,Los Angeles,2902.14,228186.0,0.012718308748126527
1379240,Los Angeles,3116.2,253811.0,0.0122776396610076
1380225,Los Angeles,3366.29,260056.0,0.012944481188667057
1381201,Los Angeles,2121.15,150312.0,0.014111647772632924
1376268,Los Angeles,5598.32,462901.0,0.012093989859602809
1375942,Los Angeles,1253.31,70155.0,0.01786487064357494
1373865,Los Angeles,6852.47,568101.0,0.012062062907828009
1373837,Los Angeles,4199.28,338074.0,0.012421185894212509
1373764,Los Angeles,7417.67,597230.0,0.012420122900725014
1373724,Los Angeles,1724.15,138509.0,0.01244792757149355
1373699,Los Angeles,3020.14,251898.0,0.011989535446887231
1373678,Los Angeles,5166.11,427000.0,0.012098618266978922
1373652,Los Angeles,1863.89,152231.0,0.01224382681582595
1373639,Los Angeles,2712.24,221241.0,0.012259210544157727
1373523,Los Angeles,6754.25,540000.0,0.01250787037037037
1373888,Los Angeles,12271.16,1015000.0,0.012089812807881774
1373410,Los Angeles,8693.89,733000.0,0.01186069577080491
1373382,Los Angeles,7412.35,609150.0,0.012168349339243208
1373380,Los Angeles,4410.37,363000.0,0.01214977961432507
2420965,Los Angeles,1345.56,79837.0,0.01685383969838546
2421015,Los Angeles,6575.31,559000.0,0.01176262969588551
2421068,Los Angeles,11901.77,991414.0,0.012004843587038311
2421233,Los Angeles,4673.9,370015.0,0.012631650068240475
2421267,Los Angeles,5459.55,462318.0,0.01180907946478398
2421275,Los Angeles,4862.91,404005.0,0.012036756970829569
2421317,Los Angeles,8483.39,706489.0,0.012007816116032945
1373404,Los Angeles,1296.82,88381.0,0.014673063214944387
1376153,Los Angeles,13842.76,1146518.0,0.012073739793008046
1374025,Los Angeles,5531.57,451801.0,0.012243377062025095
1374126,Los Angeles,9976.44,817411.0,0.012204925062178023
1375898,Los Angeles,854.26,72845.0,0.011727091770196993
1375496,Los Angeles,4634.21,312000.0,0.01485323717948718
1375494,Los Angeles,3780.68,250100.0,0.015116673330667732
1375362,Los Angeles,3245.77,208230.0,0.01558742736397253
1375262,Los Angeles,1477.77,119357.0,0.012381092018063457
1375235,Los Angeles,3232.78,192440.0,0.016798898357929744
1375200,Los Angeles,1904.43,85931.0,0.022162316277012952
1375192,Los Angeles,3392.16,197973.0,0.017134457729084267
1375116,Los Angeles,1326.61,71395.0,0.018581273198403248
1374055,Los Angeles,1041.97,80304.0,0.012975318788603307
1375081,Los Angeles,7158.38,535000.0,0.013380149532710281
1374726,Los Angeles,2180.42,170606.0,0.012780441485059142
1374643,Los Angeles,1119.38,81961.0,0.013657471236319715
1374589,Los Angeles,3242.18,262816.0,0.012336311335687324
1374503,Los Angeles,1644.09,124808.0,0.01317295365681687
1374457,Los Angeles,6315.04,517766.0,0.012196706620365184
1374456,Los Angeles,4515.74,367028.0,0.012303529975914643
1374429,Los Angeles,4284.29,358000.0,0.011967290502793297
1374401,Los Angeles,4080.7,335578.0,0.012160213124817479
1374183,Los Angeles,6148.35,504428.0,0.01218875637355579
1374922,Los Angeles,4220.2,294410.0,0.014334431575014435
2421398,Los Angeles,6783.1,560221.0,0.012107900275070018
1381249,Los Angeles,4144.67,319813.0,0.01295966705543552
1381319,Los Angeles,6927.25,601028.0,0.011525669353174894
1386238,Los Angeles,5982.11,456000.0,0.013118662280701753
1386232,Los Angeles,8208.5,710675.0,0.011550286699264783
1386145,Los Angeles,6276.9,545000.0,0.011517247706422018
1386000,Los Angeles,24054.39,2262598.0,0.01063131409114655
2415418,Los Angeles,6565.79,540000.0,0.01215887037037037
2415467,Los Angeles,5562.2,465989.0,0.011936333261085562
2417292,Los Angeles,3347.57,269751.0,0.012409852048741248
2417424,Los Angeles,5569.31,461000.0,0.012080932754880695
2417500,Los Angeles,1726.97,131674.0,0.013115497364703738
1386413,Los Angeles,4183.78,332569.0,0.012580186367340311
2417505,Los Angeles,983.88,71187.0,0.0138210628345063
2417520,Los Angeles,8798.68,731846.0,0.012022583986248473
2417530,Los Angeles,3391.54,275971.0,0.012289479691706738
2417565,Los Angeles,4547.81,362028.0,0.012562039400267384
2417755,Los Angeles,7097.69,585834.0,0.012115531020732834
2417818,Los Angeles,826.21,60840.0,0.013580046022353714
2417931,Los Angeles,2401.88,215960.0,0.01112187442118911
2417937,Los Angeles,4764.07,426361.0,0.011173794038385311
2417959,Los Angeles,1654.52,128987.0,0.012827029080449968
2417991,Los Angeles,1446.89,120924.0,0.01196528398002051
2417512,Los Angeles,3308.07,277000.0,0.011942490974729242
2418095,Los Angeles,2009.33,158425.0,0.012683162379674925
1386444,Los Angeles,6818.47,564575.0,0.012077173094805828
1386591,Los Angeles,7665.21,635000.0,0.012071196850393701
1388803,Los Angeles,3477.49,286918.0,0.012120152796269316
1388795,Los Angeles,8129.61,193211.0,0.04207633105775551
1388794,Los Angeles,8194.77,680217.0,0.012047287850788794
1388523,Los Angeles,5318.02,427490.0,0.012440103862078646
1388443,Los Angeles,2361.56,184689.0,0.012786684642832004
1388409,Los Angeles,6677.35,571077.0,0.011692556345291441
1388358,Los Angeles,2702.92,209995.0,0.012871354079859045
1388325,Los Angeles,3422.42,280023.0,0.012221924627619875
1388306,Los Angeles,4195.72,329985.0,0.01271488097943846
1386446,Los Angeles,1672.2,124262.0,0.013457050425713412
1388286,Los Angeles,3339.68,274513.0,0.012165835497772419
2414850,Los Angeles,6733.9,605172.0,0.011127249773618078
2415148,Los Angeles,5017.72,409035.0,0.012267214297065045
2415156,Los Angeles,6512.31,535000.0,0.012172542056074768
2415195,Los Angeles,4199.72,345238.0,0.0121647095626785
1387225,Los Angeles,13636.59,1180227.0,0.011554209486819062
1386876,Los Angeles,19970.55,1612363.0,0.012385889529839125
1386839,Los Angeles,4461.7,338074.0,0.013197406484970746
1386784,Los Angeles,4447.2,362054.0,0.01228325056483287
1386747,Los Angeles,3520.49,291159.0,0.012091297195003417
1388223,Los Angeles,7187.42,586601.0,0.012252655552922685
1381279,Los Angeles,1246.35,66488.0,0.018745487907592347
2418154,Los Angeles,4077.57,317017.0,0.012862307068706095
2418685,Los Angeles,2837.36,196268.0,0.014456559398373653
2420232,Los Angeles,16484.4,1348847.0,0.012221104395087064
2420343,Los Angeles,3200.29,241858.0,0.013232103134897337
2420469,Los Angeles,9151.76,444200.0,0.02060279153534444
2420534,Los Angeles,750.24,49699.0,0.0150956759693354
2420704,Los Angeles,2053.64,164016.0,0.012520973563554774
2420713,Los Angeles,2755.23,216316.0,0.0127370605965347
2420742,Los Angeles,4066.6,327118.0,0.012431599606258292
2420825,Los Angeles,3231.23,231304.0,0.013969624390412617
2420890,Los Angeles,4406.68,319000.0,0.013814043887147336
2420190,Los Angeles,7389.41,616826.0,0.011979731723370935
1382323,Los Angeles,3546.82,284638.0,0.01246080987078324
1382223,Los Angeles,1875.35,135213.0,0.013869598337437967
1382201,Los Angeles,5024.45,408897.0,0.012287813312398966
1382184,Los Angeles,4842.97,390870.0,0.012390232046460462
1382175,Los Angeles,2977.3,243000.0,0.012252263374485598
1381953,Los Angeles,1592.34,99159.0,0.016058451577769035
1381820,Los Angeles,6399.56,237037.0,0.02699814796846062
1381656,Los Angeles,1810.64,130685.0,0.013854994834908369
1381637,Los Angeles,811.99,43233.0,0.018781717669372932
1381456,Los Angeles,1356.17,81310.0,0.01667900627229123
1382253,Los Angeles,4478.39,374262.0,0.011965922268357462
2418547,Los Angeles,5143.88,368898.0,0.01394390861430531
2420111,Los Angeles,4643.43,370067.0,0.012547538688940112
2420058,Los Angeles,8460.59,707268.0,0.011962353732955542
2418705,Los Angeles,6439.21,451000.0,0.014277627494456763
2418713,Los Angeles,1873.91,92729.0,0.020208456901293016
2418849,Los Angeles,2132.56,101012.0,0.021111947095394604
2418901,Los Angeles,3029.95,133158.0,0.02275454722960693
2418917,Los Angeles,2233.28,119940.0,0.018619976654994166
2419016,Los Angeles,3291.55,210422.0,0.015642613414947108
2419032,Los Angeles,1093.02,39709.0,0.027525749830013345
2419039,Los Angeles,1920.11,95246.0,0.02015948176301367
2419077,Los Angeles,2680.77,159901.0,0.016765185958812014
2420059,Los Angeles,2630.74,211336.0,0.012448139455653555
2419097,Los Angeles,2585.52,137933.0,0.018744752887271357
2419182,Los Angeles,2242.81,166436.0,0.013475510105986686
2419285,Los Angeles,964.81,49454.0,0.019509240910745337
2419556,Los Angeles,4950.63,446002.0,0.011100017488710813
2419611,Los Angeles,6657.22,558603.0,0.011917623070409576
2419749,Los Angeles,1970.69,108130.0,0.018225191898640525
2419968,Los Angeles,8611.15,719695.0,0.011964999062102695
2419974,Los Angeles,17200.78,1456328.0,0.011811061793771732
2420006,Los Angeles,12667.08,1070528.0,0.011832553655766126
2420034,Los Angeles,13703.31,1156369.0,0.011850291732137405
2419130,Los Angeles,2831.36,157812.0,0.01794134793298355
1372058,Los Angeles,6546.19,536051.0,0.012211879093593706
2421426,Los Angeles,3948.54,323000.0,0.012224582043343653
1371822,Los Angeles,23070.65,1915738.0,0.012042695817486525
1362583,Los Angeles,6179.57,521062.0,0.011859567575451674
1362461,Los Angeles,4404.84,357000.0,0.012338487394957983
1362324,Los Angeles,2097.37,149093.0,0.014067528321249153
1362271,Los Angeles,1972.05,116532.0,0.016922819483060448
1362253,Los Angeles,3280.44,234847.0,0.01396841347771102
1362154,Los Angeles,3458.73,280000.0,0.012352607142857143
1362039,Los Angeles,1684.85,130263.0,0.012934217698041654
1361998,Los Angeles,6293.82,516502.0,0.012185470724217912
1361780,Los Angeles,12885.42,1081843.0,0.011910619193358
1362651,Los Angeles,2283.29,150773.0,0.015143891810867994
1361460,Los Angeles,3995.04,334016.0,0.011960624640735773
1361119,Los Angeles,1047.27,77197.0,0.013566200759096855
1361085,Los Angeles,13762.96,1228545.0,0.011202650289570182
1361076,Los Angeles,9658.12,810900.0,0.01191037119250216
1361016,Los Angeles,7442.99,579000.0,0.012854905008635578
1360956,Los Angeles,5677.74,469000.0,0.012106055437100213
1360954,Los Angeles,3996.02,332879.0,0.012004422027223105
1360951,Los Angeles,8294.96,688306.0,0.012051267895383739
1360948,Los Angeles,11018.62,917592.0,0.01200819100428077
1360936,Los Angeles,1452.93,113073.0,0.01284948661484174
1361378,Los Angeles,11165.87,943141.0,0.011839025129858632
1360726,Los Angeles,3955.05,283500.0,0.013950793650793651
1362654,Los Angeles,1424.26,97949.0,0.014540832474042614
1362714,Los Angeles,3090.2,229829.0,0.013445648721440722
1364728,Los Angeles,2040.3,161598.0,0.012625775071473657
1364489,Los Angeles,4573.25,358976.0,0.012739709618470315
1364267,Los Angeles,5815.36,470779.0,0.012352632551579402
1364120,Los Angeles,1840.4,83664.0,0.021997513864983744
1364015,Los Angeles,3539.64,270000.0,0.013109777777777777
1363976,Los Angeles,3937.75,315644.0,0.012475288616289238
1363792,Los Angeles,829.24,51930.0,0.0159684190256114
1363618,Los Angeles,7123.63,548235.0,0.012993752679051866
1363609,Los Angeles,1163.29,63950.0,0.01819061767005473
1362658,Los Angeles,3355.29,237605.0,0.014121293743818522
1363494,Los Angeles,13563.19,1184796.0,0.011447700701217763
1363344,Los Angeles,1870.24,150109.0,0.012459212971907082
1363213,Los Angeles,3447.9,311694.0,0.01106181062195615
1363111,Los Angeles,11971.21,970537.0,0.012334625058086399
1363104,Los Angeles,17334.25,1430000.0,0.012121853146853146
1363080,Los Angeles,20920.91,1721400.0,0.012153427442779132
1363018,Los Angeles,3529.95,281349.0,0.012546516959363636
1363010,Los Angeles,2877.66,229286.0,0.012550526416789512
1362976,Los Angeles,4889.5,403130.0,0.012128841812814725
1362836,Los Angeles,9573.81,794107.0,0.01205607052953821
1363352,Los Angeles,6045.42,500428.0,0.012080499092776583
1364749,Los Angeles,827.76,56763.0,0.01458273875587971
1360703,Los Angeles,4294.43,306399.0,0.014015809451075233
1360618,Los Angeles,5213.47,375642.0,0.013878826116355467
1358754,Los Angeles,2273.88,171285.0,0.013275418162711272
1358747,Los Angeles,2025.41,163556.0,0.012383587272860671
1358710,Los Angeles,4167.69,339653.0,0.012270434826131374
1358625,Los Angeles,3927.8,316211.0,0.012421452764135341
1358528,Los Angeles,5896.06,505279.0,0.011668919547418357
1358454,Los Angeles,5801.93,472332.0,0.012283584427902408
2425917,Los Angeles,6271.04,534533.0,0.011731810758175828
2425934,Los Angeles,2979.35,235929.0,0.012628163557680488
2425979,Los Angeles,1742.86,117200.0,0.014870819112627985
1358812,Los Angeles,1624.2,130062.0,0.012487890390736726
1356899,Los Angeles,6925.47,261903.0,0.02644288152483935
1356699,Los Angeles,4871.99,390000.0,0.01249228205128205
1356662,Los Angeles,3800.77,310000.0,0.012260548387096774
1356579,Los Angeles,5738.79,277105.0,0.02070980314321286
1356564,Los Angeles,13505.66,806679.0,0.01674229774172874
1356459,Los Angeles,2821.74,235000.0,0.012007404255319149
1356067,Los Angeles,6531.86,490717.0,0.013310849226743724
2429288,Los Angeles,16332.0,1346193.0,0.012131989989548304
2429321,Los Angeles,4110.68,323614.0,0.012702417077135106
2429886,Los Angeles,15455.75,850779.0,0.018166586152220495
1356716,Los Angeles,18244.43,1556183.0,0.011723833250973696
1360637,Los Angeles,1353.57,103471.0,0.013081636400537349
1358878,Los Angeles,2495.4,200336.0,0.012456073796022682
1358996,Los Angeles,1272.66,104126.0,0.012222307588882701
1360522,Los Angeles,2062.36,99734.0,0.02067860508953817
1360521,Los Angeles,2973.46,183400.0,0.016212977099236643
1360402,Los Angeles,1055.08,72146.0,0.014624234191777783
1360185,Los Angeles,3703.15,244249.0,0.015161372206232164
1360082,Los Angeles,3572.61,249649.0,0.014310531986909621
1360014,Los Angeles,3823.56,227195.0,0.01682941966152424
1359904,Los Angeles,2385.03,196382.0,0.012144850342699434
1359770,Los Angeles,2131.9,161758.0,0.013179564534675257
1359756,Los Angeles,2358.57,194106.0,0.012150938147197924
1358991,Los Angeles,9439.54,775000.0,0.012180051612903227
1359753,Los Angeles,6812.31,565000.0,0.012057185840707965
1359493,Los Angeles,2605.46,210000.0,0.012406952380952381
1359472,Los Angeles,4910.64,392799.0,0.012501661154941841
1359427,Los Angeles,1671.46,130988.0,0.012760405533331298
1359362,Los Angeles,4335.71,386959.0,0.011204572060605903
1359332,Los Angeles,6530.45,596000.0,0.010957130872483222
1359302,Los Angeles,5426.19,446000.0,0.01216634529147982
1359271,Los Angeles,672.17,53590.0,0.01254282515394663
1359250,Los Angeles,13125.17,1066862.0,0.01230259396248062
1359134,Los Angeles,10687.61,876564.0,0.012192617994806997
1359724,Los Angeles,5618.4,445279.0,0.012617707100492051
1364859,Los Angeles,6014.48,491000.0,0.012249450101832994
1365055,Los Angeles,1015.25,70675.0,0.01436505129112133
1365155,Los Angeles,6234.19,517785.0,0.012040113174387052
1370789,Los Angeles,6210.12,429000.0,0.014475804195804196
1370744,Los Angeles,4592.33,385795.0,0.011903549812724373
2422544,Los Angeles,2604.59,208563.0,0.012488264936733745
2422550,Los Angeles,5315.83,433000.0,0.012276743648960739
2422816,Los Angeles,4168.82,318617.0,0.013084110389590009
2422836,Los Angeles,1123.46,75601.0,0.014860385444636977
2423145,Los Angeles,8235.62,725903.0,0.01134534503921323
2423196,Los Angeles,4449.56,386847.0,0.011502118408569798
2423265,Los Angeles,3433.89,284168.0,0.01208401368204724
2422446,Los Angeles,2802.54,217864.0,0.012863713142143723
2423357,Los Angeles,4288.97,350000.0,0.012254200000000002
2423647,Los Angeles,1165.29,82026.0,0.014206349206349205
2423853,Los Angeles,6924.13,545000.0,0.012704825688073395
2424188,Los Angeles,3918.5,322750.0,0.012140975987606507
2424230,Los Angeles,9586.38,834639.0,0.01148566026749289
2424350,Los Angeles,8474.79,687231.0,0.012331792366758777
2424374,Los Angeles,7946.88,677000.0,0.01173837518463811
2424399,Los Angeles,12933.0,1145298.0,0.011292257560914277
2424452,Los Angeles,3946.22,304585.0,0.012956054960027578
2424472,Los Angeles,3099.99,98603.0,0.03143910428688782
2423365,Los Angeles,750.49,44272.0,0.016951797976147452
2424537,Los Angeles,1223.74,74507.0,0.01642449702712497
1370903,Los Angeles,8810.26,760000.0,0.011592447368421053
1371066,Los Angeles,8968.86,650146.0,0.013795147551473055
1371783,Los Angeles,4986.54,456881.0,0.01091430810210974
2421531,Los Angeles,1588.52,127800.0,0.012429733959311424
1371675,Los Angeles,8088.46,677000.0,0.011947503692762186
1371634,Los Angeles,4151.94,335499.0,0.012375416916294832
1371616,Los Angeles,6070.21,499000.0,0.012164749498997996
2421629,Los Angeles,7063.57,578692.0,0.012206095816081784
2421689,Los Angeles,1433.52,124746.0,0.011491510749843682
1371513,Los Angeles,10325.96,551633.0,0.018718894627406262
1371508,Los Angeles,4944.42,381971.0,0.012944490550329738
2422381,Los Angeles,579.08,41366.0,0.01399893632451772
2421693,Los Angeles,2625.6,241476.0,0.010873130248968842
2421804,Los Angeles,3687.3,341000.0,0.010813196480938416
1371232,Los Angeles,3028.64,219000.0,0.013829406392694064
2421824,Los Angeles,2878.27,263531.0,0.010921940872231351
2422106,Los Angeles,1489.05,120075.0,0.012400999375390381
2422133,Los Angeles,13062.42,1054095.0,0.012392070923398744
2422187,Los Angeles,8294.5,706000.0,0.0117485835694051
1371097,Los Angeles,5180.05,335032.0,0.015461358914969317
1371096,Los Angeles,11230.91,656000.0,0.01712028963414634
2422255,Los Angeles,2692.67,215970.0,0.012467796453211095
2421722,Los Angeles,1296.97,112559.0,0.011522579269538643
2424601,Los Angeles,852.16,36808.0,0.023151488806781133
2424604,Los Angeles,3572.43,265481.0,0.013456443210625241
2424627,Los Angeles,5425.93,459781.0,0.011801118358522862
1366452,Los Angeles,7660.81,617592.0,0.012404321947175482
1366440,Los Angeles,11342.19,995253.0,0.011396288179990414
1366342,Los Angeles,4370.88,355446.0,0.012296888978916629
1366283,Los Angeles,3729.78,305099.0,0.012224818829298031
1366207,Los Angeles,2880.86,220208.0,0.013082449320642302
1366174,Los Angeles,5956.17,463000.0,0.012864298056155507
1366076,Los Angeles,5388.03,394000.0,0.013675203045685279
1366020,Los Angeles,3054.77,222530.0,0.01372745247831753
1365940,Los Angeles,1733.21,113680.0,0.015246393384940183
1366549,Los Angeles,738.6,42816.0,0.01725056053811659
1365539,Los Angeles,691.88,54215.0,0.012761781794706262
1365519,Los Angeles,5413.98,439000.0,0.012332528473804099
1365514,Los Angeles,5482.5,442097.0,0.012401124640067677
1365465,Los Angeles,4256.91,350260.0,0.01215357163250157
1365457,Los Angeles,2638.26,210251.0,0.012548144836409815
1365396,Los Angeles,2495.32,207589.0,0.012020482780879527
1365362,Los Angeles,3468.52,303000.0,0.011447260726072607
1365225,Los Angeles,3342.11,275000.0,0.012153127272727273
1365213,Los Angeles,6139.81,516730.0,0.011882046716854064
1365169,Los Angeles,5271.23,446000.0,0.01181890134529148
1365521,Los Angeles,4129.77,324778.0,0.012715670396393845
1366772,Los Angeles,2643.99,207172.0,0.012762294132411714
1366804,Los Angeles,1368.14,85897.0,0.015927680827037032
1366875,Los Angeles,791.28,46133.0,0.017152147053085643
2424797,Los Angeles,2341.34,163736.0,0.01429948209312552
2424911,Los Angeles,3460.71,287941.0,0.012018816354739338
2425002,Los Angeles,8346.06,689000.0,0.012113294629898403
2425007,Los Angeles,1368.4,88802.0,0.015409562847683612
2425287,Los Angeles,1590.27,108984.0,0.014591774939440652
2425409,Los Angeles,891.1,40336.0,0.02209192780642602
2425440,Los Angeles,7804.58,685000.0,0.011393547445255474
2425459,Los Angeles,7234.14,553000.0,0.013081627486437614
2425467,Los Angeles,2619.34,212937.0,0.012301009218689096
2425487,Los Angeles,7034.16,531319.0,0.013239052245449532
2425614,Los Angeles,6659.69,502548.0,0.013251848579638164
2425749,Los Angeles,2572.73,199260.0,0.012911422262370771
2425751,Los Angeles,4098.52,330000.0,0.012419757575757577
2425829,Los Angeles,8825.16,752000.0,0.011735585106382979
2425902,Los Angeles,1908.92,136862.0,0.013947772208501996
1367481,Los Angeles,7802.46,610096.0,0.012788905352600247
1367330,Los Angeles,4229.18,358000.0,0.011813351955307264
1367280,Los Angeles,4594.23,386245.0,0.011894600577353752
1367194,Los Angeles,2922.94,240243.0,0.012166597986205634
1367148,Los Angeles,4507.23,344000.0,0.013102412790697673
1366878,Los Angeles,6136.4,499675.0,0.012280782508630609
1388847,Los Angeles,1073.87,85788.0,0.01251771809577097
1388888,Los Angeles,4188.91,336930.0,0.012432582435520732
1388910,Los Angeles,2200.6,179379.0,0.012267879740660835
1388975,Los Angeles,547.51,42397.0,0.012913885416420972
2407433,Los Angeles,3249.23,254799.0,0.012752130110400748
2407485,Los Angeles,3896.57,312068.0,0.012486285040439905
2407706,Los Angeles,4446.19,375000.0,0.011856506666666666
2408186,Los Angeles,1193.0,81964.0,0.014555170562686057
2408189,Los Angeles,4992.31,401023.0,0.012448936844021416
2408226,Los Angeles,4018.22,299859.0,0.013400364838140591
2408373,Los Angeles,3829.49,320000.0,0.01196715625
2408378,Los Angeles,2708.0,211871.0,0.012781362244006967
2408437,Los Angeles,1461.36,97098.0,0.015050361490452944
2407332,Los Angeles,2149.28,166422.0,0.012914638689596329
2408600,Los Angeles,5978.7,502548.0,0.011896774039494734
2408721,Los Angeles,1426.05,74922.0,0.01903379514695283
2408859,Los Angeles,3105.85,245830.0,0.012634137412032705
2409200,Los Angeles,3827.78,301000.0,0.012716877076411962
2409471,Los Angeles,2664.46,178119.0,0.014958875807746507
2409529,Los Angeles,2839.82,210625.0,0.013482824925816024
2409617,Los Angeles,2472.33,181370.0,0.013631416441528366
2409682,Los Angeles,3532.86,270226.0,0.013073723475905354
2409687,Los Angeles,3786.21,289428.0,0.013081699075417721
1412283,Los Angeles,3010.3,225000.0,0.013379111111111112
2408639,Los Angeles,6031.33,484643.0,0.012444892425971282
1412215,Los Angeles,6751.58,570278.0,0.011839103033958876
2407286,Los Angeles,3346.74,260454.0,0.012849639475684765
2407163,Los Angeles,8030.96,695197.0,0.011552063659653307
2404795,Los Angeles,6050.96,461231.0,0.013119152875674011
2404820,Los Angeles,6105.98,489948.0,0.012462506225150423
2405042,Los Angeles,3172.69,251979.0,0.012591088939951346
2405150,Los Angeles,5154.02,410834.0,0.012545261589839206
2405257,Los Angeles,2454.55,195674.0,0.012544078416141134
2405474,Los Angeles,27934.39,2329952.0,0.01198925557264699
2405704,Los Angeles,4398.48,355610.0,0.012368831022749641
2405785,Los Angeles,2568.14,195294.0,0.013150122379591794
2405786,Los Angeles,6364.42,516471.0,0.012322899059192094
2407227,Los Angeles,5305.93,48197.0,0.11008838724401934
2406238,Los Angeles,13600.68,1056810.0,0.012869560280466688
2406452,Los Angeles,1355.51,112508.0,0.012048121022505066
2406629,Los Angeles,10185.83,842779.0,0.01208600356677136
2406639,Los Angeles,10066.53,830000.0,0.012128349397590362
2406724,Los Angeles,12616.23,1346194.0,0.009371777024708178
2406726,Los Angeles,7366.89,598200.0,0.012315095285857574
2406937,Los Angeles,3965.54,355506.0,0.011154635927382379
2407019,Los Angeles,15433.94,1348899.0,0.011441879636651818
2407028,Los Angeles,9337.97,789852.0,0.011822430024865417
2407074,Los Angeles,5824.55,500000.0,0.0116491
2406404,Los Angeles,7842.21,665525.0,0.011783494233875511
2404555,Los Angeles,3008.93,212674.0,0.014148085802683919
1412182,Los Angeles,2193.69,172133.0,0.012744157134308936
1412130,Los Angeles,4898.29,371747.0,0.013176407610552337
1410019,Los Angeles,1108.64,81136.0,0.013663971603234078
1409639,Los Angeles,10119.9,856000.0,0.011822313084112149
1409434,Los Angeles,5891.41,513869.0,0.011464809124504495
1409262,Los Angeles,6385.31,420000.0,0.015203119047619049
1409052,Los Angeles,5107.84,410559.0,0.012441183849337123
1408943,Los Angeles,3791.99,270457.0,0.014020676114872234
1408871,Los Angeles,4699.89,264059.0,0.01779863591091385
1408850,Los Angeles,2499.48,164147.0,0.01522708304142019
1408618,Los Angeles,2472.79,192441.0,0.01284960065682469
1410032,Los Angeles,3926.19,289000.0,0.013585432525951558
1408476,Los Angeles,3132.49,248024.0,0.012629785827178015
1408423,Los Angeles,825.66,46350.0,0.01781359223300971
1408401,Los Angeles,5784.05,483707.0,0.011957755418052664
1408326,Los Angeles,3481.68,128354.0,0.027125605746607037
1408279,Los Angeles,7283.56,619301.0,0.01176093692727769
1408187,Los Angeles,2428.39,179190.0,0.013552039734360175
1408187,Los Angeles,2428.39,179190.0,0.013552039734360175
1408161,Los Angeles,8434.68,728162.0,0.011583521249392307
1408146,Los Angeles,2877.25,244679.0,0.011759284613718382
1408119,Los Angeles,1713.79,134241.0,0.012766516935958462
1408443,Los Angeles,13345.24,1079025.0,0.012367869141122773
1412176,Los Angeles,9321.46,797641.0,0.011686284932695284
1410045,Los Angeles,4945.5,405000.0,0.012211111111111112
1410202,Los Angeles,1228.56,62771.0,0.01957209539437001
1412050,Los Angeles,1248.68,92942.0,0.013435045512254955
1411948,Los Angeles,2436.78,188684.0,0.012914608551864494
1411834,Los Angeles,4360.04,336546.0,0.012955257230809458
1411788,Los Angeles,4499.23,321257.0,0.014005080044948435
1411645,Los Angeles,5035.61,393000.0,0.01281325699745547
1411594,Los Angeles,1394.94,85895.0,0.016240060539030213
